,Name,Year,GroupNum,Status,Birth_Date,Birth_Place,Gender,Alma_Mater,Undergraduate_Major,Graduate_Major,Military_Rank,Military_Branch,Space_Flights,Space_Flight_hr,Space_Walks,Space_Walks_hr,Missions,Death_Date,Death_Mission
113,Gregory T. Linteris,1987,12,Retired,4/10/57,"Demarest, NJ",Male,Princeton University; Stanford University,Chemical Engineering,Mechanical Engineering; Mechanical & Aerospace...,Colonel,US Air Force (Retired),2,471,0,0,"STS-83 (Columbia), STS-94 (Columbia)",NaN,NaN
114,Guion S. Bluford Jr.,1978,8,Retired,22-11-1942,"Philadelphia, PA",Male,Pennsylvania State University; Air Force Insti...,Aerospace Engineering,Aerospace Engineering; Business Administration,Colonel,US Air Force (Retired),4,689,0,0,"STS-8 (Challenger), STS 61-A (Challenger), STS...",NaN,NaN
115,Guy S. Gardner,1980,9,Retired,6/1/48,"Alta Vista, VA",Male,US Air Force Academy; Purdue University,Engineering Sciences; Astronautics & Mathematics,Astronautics,Colonel,US Air Force (Retired),2,320,0,0,"STS-27 (Atlantis), STS-35 (Columbia)",NaN,NaN
116,Harrison H. Schmitt,1965,4,Retired,3/7/35,"Santa Rita, NM",Male,California Institute of Technology; Harvard Un...,Geology,Geology,Colonel,US Air Force (Retired),1,301,3,22,Apollo 17,NaN,NaN
117,Heidemarie M. Stefanyshyn-Piper,1996,16,Retired,7/2/63,"St. Paul, MN",Female,MIT,Mechanical Engineering,Geology,Captain,US Navy,2,663,2,33,"STS-115 (Atlantis), STS-126 (Endeavor)",NaN,NaN
118,Henry W. Hartsfield Jr.,1969,7,Retired,21-11-1933,"Birmingham, AL",Male,Auburn University; University of Tennessee,Physics,Engineering Science,Colonel,US Air Force (Retired),3,482,0,0,"STS-4 (Columbia), STS 41-D (Discovery), STS 61...",NaN,NaN
119,J. Mike Lounge,1980,9,Deceased,28-06-1946,"Denver, CO",Male,US Naval Academy; University of Colorado,Mathematics & Physics,Astrogeophysics,Colonel,US Air Force (Retired),3,483,0,0,"STS 51-I (Discovery), STS-26 (Discovery), STS-...",1/3/11,NaN
120,Jack D. Fischer,2009,20,Active,23-01-1974,"Louisville, CO",Male,US Air Force Academy; MIT,Astronautical Engineering,Aeronautics & Astronautics,Colonel,US Air Force (Retired),0,0,0,0,"STS 51-I (Discovery), STS-26 (Discovery), STS-...",NaN,NaN
121,Jack R. Lousma,1966,5,Retired,29-02-1936,"Grand Rapids, MI",Male,University of Michigan; US Naval Postgraduate ...,Aeronautical Engineering,Aeronautical Engineering,Colonel,US Marine Corps (Retired),2,1619,2,11,"Skylab 3, STS-3 (Columbia)",NaN,NaN
122,Jake Garn,1966,5,Retired,12/10/32,Richfield. UT,Male,University of Utah,Business Finance,Aeronautical Engineering,Colonel,US Marine Corps (Retired),1,167,0,0,STS 51-D (Discovery),NaN,NaN
123,James A. Lovell Jr.,1962,2,Retired,25-03-1928,"Cleveland, OH",Male,US Naval Academy,Business Finance,Aeronautical Engineering,Captain,US Navy (Retired),4,715,0,0,"Gemini 7, Gemini 12, Apollo 8, Apollo 13",NaN,NaN
124,James A. McDivitt,1984,2,Retired,10/6/29,"Chicago, IL",Male,University of Michigan,Astronautical Engineering,Aeronautical Engineering,Brigadier General,US Air Force (Retired),2,338,0,0,"Gemini 4, Apollo 9",NaN,NaN
125,James A. Pawelczyk,1984,2,Retired,20-09-1960,"Buffalo, NY",Male,University of Rochester; Pennsylvania State Un...,Biology & Psychology,Physiology; Biology,Brigadier General,US Air Force (Retired),1,381,0,0,STS-90 (Columbia),NaN,NaN
126,James B. Irwin,1966,5,Deceased,17-03-1930,"Pittsburgh, PA",Male,US Naval Academy; University of Michigan,Naval Sciences,Aeronautical Engineering,Colonel,US Air Force (Retired),1,295,3,20,Apollo 15,8/8/91,Natural causes
127,James C. Adamson,1984,10,Retired,3/3/46,"Warsaw, NY",Male,US Military Academy; Princeton University,Engineering,Aerospace Engineering,Colonel,US Army (Retired),2,334,0,0,"STS-28 (Columbia), STS-43 (Atlantis)",NaN,NaN
